DeviceTag: 5,FirmwareVersion: 2.4.0,AppVersion: 2022.2.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2023-08-10 15:40:58.082,© Movella Technologies B.V. 2005-2023
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
10458987,1.0000,-0.0004,0.0054,0.0068,-0.0394,-0.1346,0.1717,0
10459154,1.0000,-0.0003,0.0053,0.0068,-0.0421,-0.1306,0.1799,0
10459320,1.0000,-0.0002,0.0053,0.0068,-0.0362,-0.1279,0.1692,0
10459487,1.0000,-0.0001,0.0053,0.0068,-0.0622,-0.1450,0.1636,0
10459654,1.0000,0.0000,0.0052,0.0068,-0.0773,-0.1543,0.1824,0
10459820,1.0000,0.0001,0.0052,0.0068,-0.0722,-0.1560,0.1098,0
10459987,1.0000,0.0002,0.0052,0.0068,-0.0639,-0.1693,0.1848,0
10460154,1.0000,0.0003,0.0051,0.0068,-0.0562,-0.1643,0.1779,0
10460320,1.0000,0.0004,0.0051,0.0069,-0.0480,-0.1460,0.1819,0
10460487,1.0000,0.0005,0.0050,0.0069,-0.0442,-0.1356,0.1737,0
10460654,1.0000,0.0006,0.0050,0.0069,-0.0544,-0.1677,0.1853,0
10460820,1.0000,0.0007,0.0050,0.0069,-0.0736,-0.1723,0.1669,0
10460987,1.0000,0.0008,0.0049,0.0070,-0.0639,-0.1801,0.1274,0
10461154,1.0000,0.0009,0.0049,0.0070,-0.0716,-0.1815,0.1760,0
10461321,1.0000,0.0010,0.0048,0.0070,-0.0651,-0.1600,0.1778,0
10461487,1.0000,0.0011,0.0048,0.0070,-0.0525,-0.1663,0.1728,0
10461654,1.0000,0.0011,0.0048,0.0071,-0.0581,-0.1686,0.1928,0
10461821,1.0000,0.0012,0.0047,0.0070,-0.0703,-0.1787,0.1844,0
10461987,1.0000,0.0013,0.0047,0.0071,-0.0806,-0.1903,0.1612,0
10462154,1.0000,0.0014,0.0046,0.0071,-0.0776,-0.1725,0.1535,0
10462321,1.0000,0.0015,0.0046,0.0071,-0.0749,-0.1823,0.1688,0
10462487,1.0000,0.0016,0.0046,0.0071,-0.0693,-0.1864,0.1744,0
10462654,1.0000,0.0016,0.0045,0.0071,-0.0605,-0.1733,0.1931,0
10462821,1.0000,0.0017,0.0045,0.0071,-0.0615,-0.1717,0.1744,0
10462987,1.0000,0.0018,0.0045,0.0072,-0.0788,-0.1822,0.1711,0
10463154,1.0000,0.0019,0.0044,0.0072,-0.0915,-0.1804,0.1490,0
10463321,1.0000,0.0020,0.0044,0.0072,-0.0920,-0.1985,0.1418,0
10463487,1.0000,0.0020,0.0044,0.0073,-0.0832,-0.1976,0.1723,0
10463654,1.0000,0.0021,0.0043,0.0073,-0.0581,-0.2048,0.1835,0
10463821,1.0000,0.0022,0.0043,0.0073,-0.0699,-0.1908,0.1881,0
10463987,1.0000,0.0022,0.0043,0.0073,-0.0606,-0.1788,0.1658,0
10464154,1.0000,0.0023,0.0042,0.0073,-0.0850,-0.1822,0.1686,0
10464321,1.0000,0.0024,0.0042,0.0073,-0.0877,-0.1931,0.1665,0
