SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
11535273,0.531,0.4266,0.4758,-0.5564,-0.0155,-0.1039,-0.0489,0
11535773,0.5325,0.4275,0.4742,-0.5558,-0.1208,0.1634,-0.073,0
11536273,0.5338,0.4299,0.4722,-0.5543,-0.907,-0.2021,0.2742,0
11536773,0.5321,0.4297,0.4691,-0.5587,-2.0562,0.2009,-0.2813,0
11537273,0.5268,0.4423,0.4515,-0.5683,3.5193,0.3203,1.0652,0
11537773,0.5302,0.4815,0.4207,-0.5568,5.3639,2.6885,-0.1672,0
11538273,0.542,0.565,0.3489,-0.515,11.088,-0.8619,-3.0025,0
11538773,0.5698,0.6698,0.2415,-0.4103,7.9988,-0.5798,7.4635,0
11539273,0.5901,0.752,0.1173,-0.2694,-1.2227,-2.6098,12.5426,0
11539773,0.6078,0.7848,0.0087,-0.1206,-10.3275,0.5494,7.4938,0
11540273,0.6166,0.7834,-0.0767,0.0126,-10.9996,1.7439,2.2954,0
11540773,0.6253,0.7598,-0.1319,0.1196,-9.0563,2.2556,-3.0457,0
11541273,0.6406,0.7217,-0.1694,0.2002,-5.2801,1.575,-4.4586,0
11541773,0.6466,0.6832,-0.1997,0.2745,-1.7685,0.9414,-6.8555,0
11542273,0.63,0.6631,-0.2154,0.342,-0.0672,-1.0507,-6.5785,0
11542773,0.6104,0.6492,-0.22,0.397,3.5506,-3.8023,-6.3275,0
11543273,0.5887,0.6517,-0.2148,0.4273,4.8075,-4.7203,-6.2747,0
11543773,0.5834,0.6575,-0.2115,0.4274,3.5879,-4.0218,-5.0522,0
11544273,0.5887,0.6691,-0.2076,0.4033,2.9456,-2.1571,-4.7321,0
11544773,0.5912,0.6919,-0.1988,0.3637,0.2309,-1.5322,-3.8127,0
11545273,0.5993,0.7162,-0.1891,0.3035,-1.3791,-0.6572,-2.1206,0
11545773,0.6119,0.7353,-0.1792,0.2299,-2.8664,-1.4031,-2.1553,0
11546273,0.6192,0.7496,-0.1788,0.1506,-4.5976,0.2905,-2.1415,0
11546773,0.6217,0.7605,-0.1749,0.0673,-4.7027,-0.4962,-0.3595,0
11547274,0.6238,0.7639,-0.1608,-0.0369,-7.3397,0.7277,1.1129,0
11547774,0.6412,0.7422,-0.1252,-0.1492,-4.6389,2.1728,2.4905,0
11548274,0.6816,0.6792,-0.0411,-0.269,-0.9124,2.2363,4.1581,0
11548774,0.6896,0.6146,0.0796,-0.3747,0.8839,3.548,2.1412,0
11549274,0.6644,0.5691,0.1821,-0.4489,3.5149,2.7863,1.6443,0
11549774,0.6253,0.546,0.2593,-0.4936,6.9461,-1.6398,2.4224,0
11550274,0.6125,0.5164,0.3159,-0.5083,3.529,-1.1552,2.6913,0
11550774,0.6045,0.4983,0.3571,-0.5088,0.549,-2.5035,1.2548,0
11551274,0.5954,0.5011,0.364,-0.5117,-0.0237,-1.6009,0.894,0
11551774,0.5973,0.502,0.3641,-0.5086,-2.4548,-1.63,0.854,0
11552274,0.5976,0.5094,0.3493,-0.5112,-1.4113,-1.988,0.2936,0
11552774,0.6051,0.5102,0.3333,-0.5124,0.4622,-1.0727,0.8589,0
11553274,0.6139,0.5282,0.2992,-0.5045,4.9874,0.041,-0.2327,0
11553774,0.641,0.5648,0.2396,-0.4611,6.3777,0.9499,1.2185,0
11554274,0.665,0.6211,0.1541,-0.3851,3.5414,0.934,4.9291,0
11554774,0.6743,0.6773,0.0619,-0.2878,-1.9885,1.2797,6.3336,0
11555274,0.6728,0.7169,-0.0174,-0.182,-4.8336,1.1507,4.1946,0
11555774,0.6689,0.7354,-0.0776,-0.0754,-5.9739,0.5657,2.0256,0
11556274,0.6694,0.7326,-0.1209,0.023,-6.5825,0.2765,-1.0523,0
11556774,0.6718,0.7158,-0.1529,0.1134,-4.6332,1.507,-2.5986,0
11557274,0.67,0.6942,-0.1705,0.2002,-2.8481,1.232,-4.2663,0
11557774,0.6625,0.6715,-0.1825,0.2774,-1.3759,-0.475,-3.8222,0
11558274,0.6462,0.6564,-0.1865,0.3416,0.81,-2.0532,-3.4385,0
11558774,0.6259,0.6495,-0.1854,0.3899,2.3473,-4.2871,-4.7301,0
11559274,0.6058,0.6535,-0.1809,0.4162,1.8958,-3.3653,-3.2326,0
11559774,0.5978,0.6588,-0.1798,0.4198,2.2067,-2.8022,-3.4635,0
11560274,0.5933,0.6734,-0.1762,0.4044,2.1306,-1.9005,-3.6336,0
11560774,0.5894,0.6978,-0.1665,0.3714,0.8077,-1.8284,-4.4705,0
11561274,0.5951,0.7197,-0.1579,0.3208,-1.0807,-1.3691,-2.0524,0
11561774,0.6125,0.7342,-0.1475,0.2531,-3.3564,-1.2759,-3.9633,0
11562274,0.6202,0.7523,-0.131,0.1793,-2.9786,0.278,-3.4241,0
11562774,0.6213,0.7694,-0.115,0.0935,-5.7505,-1.3824,0.579,0
11563274,0.6252,0.7752,-0.0905,-0.0025,-5.0727,-0.6489,0.5729,0
11563774,0.6408,0.7593,-0.0506,-0.101,-3.8754,1.2446,2.0526,0
11564274,0.663,0.7207,0.0112,-0.2025,-0.106,0.0938,5.2008,0
11564774,0.6746,0.6717,0.0918,-0.2921,-2.9484,4.3753,2.4983,0
11565274,0.655,0.6298,0.1793,-0.377,2.0445,1.2013,1.5392,0
11565774,0.6153,0.6056,0.2473,-0.4399,3.576,0.3182,2.3082,0
11566274,0.5853,0.5803,0.2958,-0.4828,4.1002,-2.985,0.0768,0
11566774,0.5816,0.5538,0.3357,-0.4923,1.7587,-1.671,2.4228,0
11567274,0.5772,0.5414,0.3639,-0.4912,0.9388,-0.638,0.6515,0
11567774,0.5753,0.537,0.3776,-0.488,-2.7618,-3.5265,1.2921,0
11568274,0.5696,0.5545,0.3644,-0.4851,-1.2374,-1.0007,-0.9008,0
11568774,0.5679,0.5594,0.3568,-0.4871,-1.386,-2.2776,0.0358,0
11569274,0.5695,0.5723,0.3391,-0.4828,0.9752,0.4297,0.3302,0
11569774,0.573,0.6081,0.295,-0.4635,7.0729,-0.972,0.2886,0
11570274,0.5916,0.6599,0.2248,-0.4049,6.4806,-0.5071,3.6741,0
11570774,0.605,0.7201,0.1383,-0.3103,2.3913,-0.2525,7.3811,0
11571274,0.6114,0.7658,0.0517,-0.1927,-4.5989,0.6701,6.8132,0
11571774,0.6048,0.7926,-0.0216,-0.0745,-7.6451,-0.7508,4.4503,0
11572274,0.6107,0.7873,-0.0774,0.0354,-7.7674,-0.1967,0.014,0
11572774,0.6207,0.7645,-0.1176,0.1279,-5.8524,1.1106,-4.3655,0
11573274,0.6158,0.7471,-0.1505,0.2,-3.0244,-0.1087,-3.715,0
11573774,0.5955,0.7333,-0.1751,0.2776,-2.9265,-0.1797,-3.0673,0
11574274,0.5736,0.7184,-0.1905,0.3443,-2.7343,-1.7651,-1.7356,0
11574774,0.5694,0.6916,-0.2088,0.3923,0.5138,-1.8668,-3.3026,0
11575274,0.5639,0.6718,-0.2238,0.4249,3.6673,-2.147,-6.2307,0
11575774,0.5446,0.6768,-0.2197,0.444,4.2529,-3.5091,-5.4378,0
11576274,0.5353,0.6914,-0.2107,0.4371,3.6117,-3.177,-4.8002,0
11576774,0.5424,0.707,-0.2053,0.4047,0.72,-2.2242,-3.3277,0
11577274,0.5609,0.7182,-0.2037,0.3578,-2.6281,-1.0348,-3.1749,0
11577774,0.575,0.7374,-0.1891,0.2997,-0.3653,-0.553,-4.446,0
11578274,0.5706,0.7707,-0.1648,0.2309,-4.0986,-1.0011,-2.5157,0
11578774,0.5711,0.7946,-0.143,0.1482,-5.9233,-1.0384,-3.1032,0
11579274,0.5654,0.8148,-0.1191,0.0468,-6.9251,-0.5955,-0.3417,0
11579774,0.5684,0.8155,-0.0869,-0.0663,-4.6738,-0.7379,3.4634,0
11580274,0.5872,0.7875,-0.0314,-0.1845,-4.8006,-0.7286,7.6083,0
11580774,0.6127,0.732,0.0435,-0.2949,-0.8514,1.8383,4.7361,0
