SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
8379747,0.6122,-0.6125,0.3415,0.3653,0.002,0.0265,-0.0046,0
8380247,0.6135,-0.6109,0.3414,0.3659,-0.0911,-0.0628,-0.0396,0
8380747,0.6141,-0.6096,0.342,0.3664,-0.1348,-0.0859,-0.0957,0
8381247,0.6144,-0.6086,0.3431,0.3666,-0.1663,-0.109,-0.0571,0
8381747,0.6145,-0.6076,0.3445,0.3669,-0.104,-0.0523,-0.053,0
8382247,0.6146,-0.6065,0.3461,0.367,-0.0501,-0.0046,-0.0267,0
8382747,0.615,-0.6055,0.3473,0.3669,0.0555,-0.003,-0.0007,0
8383247,0.6158,-0.6044,0.3482,0.3664,0.0326,-0.049,0.0067,0
8383747,0.6168,-0.6034,0.3488,0.3659,-0.0391,-0.0978,-0.0179,0
8384247,0.6174,-0.6027,0.3491,0.3656,-0.0247,-0.1431,-0.0067,0
8384747,0.6176,-0.6024,0.3492,0.3656,0.0373,-0.1021,-0.0218,0
8385247,0.6181,-0.6023,0.3495,0.3646,0.1018,-0.1563,0.1326,0
8385747,0.6187,-0.603,0.349,0.3629,0.3125,-0.201,0.1514,0
8386247,0.6199,-0.6047,0.3474,0.3597,0.3991,-0.2141,0.0255,0
8386747,0.6216,-0.6075,0.3448,0.3546,0.1873,-0.1975,-0.088,0
8387247,0.6232,-0.6117,0.3412,0.348,0.1662,-0.206,0.062,0
8387747,0.6245,-0.6177,0.3358,0.3402,0.2615,-0.1605,0.0691,0
8388247,0.6256,-0.6259,0.3279,0.3306,0.4171,-0.136,0.0773,0
8388747,0.6265,-0.637,0.3176,0.3176,0.1783,-0.3207,0.1704,0
8389247,0.6252,-0.6523,0.3041,0.3018,0.0295,-0.5015,0.0911,0
8389747,0.6199,-0.6722,0.2888,0.2837,0.1741,-0.552,0.0852,0
8390247,0.6111,-0.6947,0.2732,0.2632,-0.1276,-0.5712,0.0912,0
8390747,0.6,-0.7175,0.2579,0.2422,-0.3037,-0.329,-0.2521,0
8391247,0.5864,-0.7398,0.2454,0.2204,-0.3072,-0.3701,-0.1264,0
8391747,0.5741,-0.758,0.2361,0.2002,-0.3315,0.0349,-0.1091,0
8392247,0.5648,-0.7707,0.2296,0.1853,-0.3459,0.252,-0.2475,0
8392747,0.5596,-0.7776,0.2261,0.176,-0.6532,0.259,-0.3985,0
8393247,0.5582,-0.7795,0.2247,0.174,-0.7961,0.2607,-0.3673,0
8393747,0.5617,-0.7754,0.226,0.1794,-0.5343,0.1369,-0.341,0
8394247,0.5688,-0.7663,0.2303,0.1903,-0.2861,0.0508,-0.2259,0
8394747,0.5778,-0.7536,0.2369,0.2053,-0.3533,-0.1436,-0.0236,0
8395247,0.5887,-0.7373,0.2446,0.2235,0.0313,-0.2313,-0.1487,0
