SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
7942261,0.9664,0.104,0.182,-0.1487,-0.1258,-0.16,0.2739,0
7942761,0.9662,0.1031,0.1822,-0.1502,0.0599,0.0716,0.3081,0
7943261,0.9664,0.107,0.1788,-0.1503,-0.0404,0.017,0.3166,0
7943761,0.9669,0.1118,0.1736,-0.1498,0.1134,0.0729,-0.038,0
7944261,0.9674,0.1174,0.1682,-0.1482,0.1103,0.0192,-0.055,0
7944761,0.9678,0.1234,0.1637,-0.1461,-0.0348,-0.0936,0.0019,0
7945261,0.968,0.1298,0.1594,-0.1437,0.0636,-0.0724,0.0502,0
7945761,0.968,0.1371,0.1554,-0.1417,0.0269,0.0488,0.0448,0
7946261,0.9677,0.1452,0.1517,-0.1394,0.1196,0.1429,0.0167,0
7946761,0.9675,0.1534,0.1485,-0.1354,-0.0521,-0.0312,0.0527,0
7947261,0.9671,0.1629,0.1449,-0.1311,0.0926,0.1689,0.0696,0
7947761,0.9667,0.1724,0.1413,-0.1254,-0.028,-0.044,0.1012,0
7948261,0.9661,0.1821,0.1375,-0.1204,0.0379,0.2487,0.1128,0
7948761,0.9656,0.1906,0.134,-0.1155,0.0454,0.2218,0.1271,0
7949261,0.9652,0.1975,0.1306,-0.1113,0.1595,0.2865,0.0926,0
7949761,0.9649,0.2021,0.1281,-0.1085,0.0957,0.1258,0.0806,0
7950261,0.9645,0.205,0.1267,-0.1077,0.0669,0.161,0.2506,0
7950761,0.9644,0.2055,0.1257,-0.1089,0.047,0.1758,0.0784,0
7951261,0.9644,0.2036,0.1256,-0.1124,0.0677,0.2058,-0.0829,0
7951761,0.9645,0.2004,0.1267,-0.1167,0.0946,0.1748,-0.0078,0
7952261,0.9645,0.1965,0.129,-0.1206,0.0161,0.0487,0.1449,0
7952761,0.9644,0.1922,0.1319,-0.1249,-0.0586,-0.119,0.1363,0
7953261,0.9642,0.1876,0.1348,-0.1298,0.0328,-0.0177,0.1274,0
7953761,0.9643,0.1819,0.1379,-0.1342,-0.2015,-0.2305,0.0651,0
7954261,0.9641,0.1774,0.1405,-0.1393,-0.0308,-0.0922,0.0644,0
7954761,0.9637,0.1738,0.1435,-0.143,-0.1644,-0.2128,0.2622,0
7955261,0.9636,0.1708,0.1453,-0.1456,-0.1266,-0.2027,0.1319,0
7955761,0.9634,0.1684,0.1468,-0.148,-0.1378,-0.2012,0.1653,0
7956261,0.9633,0.1663,0.1479,-0.1499,-0.1943,-0.2701,0.1104,0
7956761,0.9632,0.1651,0.1485,-0.1512,-0.1653,-0.1922,0.104,0
7957261,0.9631,0.1649,0.1486,-0.152,-0.1485,-0.1428,0.1721,0
7957761,0.9632,0.1656,0.1479,-0.1517,-0.1172,-0.1282,0.2006,0
7958261,0.9633,0.1669,0.1468,-0.1506,-0.3212,-0.316,0.2521,0
7958761,0.9634,0.1696,0.1448,-0.149,-0.2476,-0.243,0.1257,0
7959261,0.9634,0.1734,0.1423,-0.1469,-0.1473,-0.1522,0.095,0
7959762,0.9634,0.1779,0.1397,-0.1437,-0.1623,-0.1766,0.087,0
7960262,0.9635,0.1826,0.1371,-0.1399,-0.178,-0.2099,0.0689,0
7960762,0.9635,0.1874,0.1346,-0.1356,-0.3222,-0.5467,0.0093,0
7961262,0.9633,0.1937,0.131,-0.1321,-0.3502,-0.3388,0.1007,0
7961762,0.9623,0.2015,0.1278,-0.1304,0.1255,0.3702,0.3791,0
7962262,0.9627,0.2054,0.1239,-0.1253,-0.2223,-0.3604,0.0605,0
7962762,0.9624,0.2101,0.1208,-0.1228,-0.0291,0.0111,0.0759,0
7963262,0.9622,0.2132,0.1186,-0.1207,-0.0126,0.0113,0.0787,0
7963762,0.9623,0.2143,0.1177,-0.1192,-0.1495,-0.2748,-0.0048,0
7964262,0.9622,0.2142,0.1181,-0.1195,-0.1604,-0.2452,-0.0202,0
7964762,0.9622,0.2124,0.1198,-0.1214,-0.1038,-0.0949,0.0092,0
7965262,0.9621,0.2095,0.1224,-0.1241,-0.1718,-0.2179,0.2006,0
7965762,0.9622,0.206,0.1247,-0.1274,-0.1582,-0.1435,0.1824,0
7966262,0.9621,0.2023,0.1269,-0.1314,-0.2863,-0.2418,0.2995,0
7966762,0.9622,0.1981,0.1278,-0.1364,-0.1284,-0.0579,0.0871,0
7967262,0.9624,0.1931,0.1287,-0.1413,-0.1722,-0.1389,-0.0168,0
7967762,0.9626,0.1881,0.1294,-0.1461,-0.1719,-0.3151,0.0846,0
7968262,0.9627,0.1835,0.1298,-0.1509,-0.115,-0.2079,0.1519,0
7968762,0.963,0.1796,0.1303,-0.1529,-0.3391,-0.593,0.1449,0
7969262,0.963,0.1783,0.1304,-0.1546,-0.3063,-0.4201,0.0566,0
7969762,0.9627,0.1789,0.1303,-0.1558,-0.0417,-0.1169,0.2216,0
7970262,0.9626,0.18,0.1302,-0.155,-0.3091,-0.4367,0.1852,0
7970762,0.9624,0.1831,0.1295,-0.1533,-0.2691,-0.308,0.1973,0
7971262,0.9623,0.1872,0.1278,-0.1503,-0.1625,-0.1363,0.083,0
7971762,0.9625,0.1912,0.1259,-0.1457,-0.1348,-0.2447,-0.0482,0
7972262,0.9624,0.1958,0.1248,-0.1409,-0.2252,-0.2399,0.1241,0
7972762,0.9622,0.2006,0.1238,-0.1363,-0.1894,-0.2423,0.1428,0
7973262,0.962,0.2049,0.1229,-0.1322,-0.2537,-0.2791,0.0884,0
7973762,0.9616,0.2092,0.1219,-0.1292,-0.0715,-0.0594,0.1063,0
7974262,0.9614,0.2124,0.1209,-0.1264,-0.1665,-0.15,0.1117,0
7974762,0.9613,0.2147,0.1202,-0.1241,-0.2136,-0.1853,0.0921,0
7975262,0.9611,0.2165,0.1197,-0.1226,-0.1009,-0.1516,0.0998,0
7975762,0.961,0.2172,0.1202,-0.1221,-0.1759,-0.2749,0.0333,0
7976262,0.9607,0.2171,0.1214,-0.123,-0.2157,-0.23,0.0865,0
7976762,0.9606,0.2159,0.1226,-0.1251,-0.2301,-0.2006,0.1452,0
7977262,0.9606,0.2135,0.1231,-0.1281,-0.1141,-0.1862,0.1245,0
7977762,0.9607,0.2107,0.124,-0.1312,-0.0946,-0.2164,0.1212,0
7978262,0.9607,0.2073,0.1262,-0.1348,-0.23,-0.3849,0.09,0
7978762,0.9601,0.2048,0.1287,-0.1401,-0.2624,-0.0819,0.0665,0
7979262,0.96,0.2007,0.1307,-0.1448,-0.0933,-0.1402,0.0268,0
7979762,0.9598,0.1967,0.1335,-0.1494,-0.2338,-0.192,0.1241,0
7980262,0.9594,0.1939,0.1357,-0.1537,-0.0333,-0.0847,0.2815,0
7980762,0.9593,0.1902,0.1372,-0.1571,-0.0833,-0.0718,0.0559,0
7981262,0.9596,0.1857,0.1389,-0.1593,-0.2288,-0.4136,0.0132,0
7981762,0.9595,0.1832,0.1405,-0.1616,-0.1897,-0.2126,0.0891,0
7982262,0.9596,0.1814,0.1413,-0.1623,-0.242,-0.366,0.21,0
7982762,0.9596,0.1812,0.1413,-0.1622,-0.266,-0.3297,0.3048,0
7983262,0.9597,0.1829,0.1401,-0.1607,-0.2262,-0.3265,0.2688,0
7983762,0.9598,0.1866,0.1375,-0.1582,-0.1122,-0.0368,0.3661,0
7984262,0.9604,0.1914,0.1324,-0.1532,-0.2064,-0.0846,0.1817,0
7984762,0.9611,0.197,0.1261,-0.1468,-0.2363,-0.1051,0.158,0
7985262,0.962,0.2027,0.1189,-0.1393,-0.2774,-0.2693,0.1007,0
7985762,0.9624,0.2092,0.1115,-0.1323,-0.0814,-0.148,0.0769,0
7986262,0.9627,0.2152,0.1054,-0.1256,-0.1313,-0.2074,-0.0074,0
7986762,0.9626,0.2208,0.1007,-0.1204,-0.0261,-0.0682,-0.0005,0
7987262,0.9623,0.2254,0.0979,-0.1164,-0.1573,-0.1593,0.0522,0
7987762,0.9622,0.2281,0.0961,-0.1135,-0.0804,-0.1579,-0.109,0
7988262,0.9623,0.2291,0.0957,-0.1114,-0.1177,-0.1946,0.0113,0
7988762,0.9625,0.2282,0.0959,-0.111,-0.1094,-0.3187,-0.0448,0
7989262,0.9627,0.2263,0.0972,-0.1124,-0.189,-0.2043,0.1114,0
7989762,0.9629,0.2231,0.0988,-0.1153,-0.106,-0.191,0.005,0
7990262,0.963,0.2195,0.1016,-0.1191,-0.2356,-0.2796,0.1062,0
7990762,0.9627,0.2165,0.1044,-0.1238,-0.2012,-0.1758,0.094,0
7991262,0.9626,0.213,0.1072,-0.1288,0.0445,-0.0812,0.245,0
7991762,0.9624,0.2085,0.1105,-0.1343,-0.1475,-0.0909,0.0097,0
7992262,0.9623,0.204,0.1135,-0.1397,-0.1254,-0.2723,0.1267,0
7992762,0.9622,0.1989,0.116,-0.1452,-0.0467,-0.0537,0.0904,0
7993262,0.9623,0.1943,0.1182,-0.1492,-0.122,-0.2661,0.1771,0
7993762,0.9623,0.1912,0.1199,-0.152,-0.3023,-0.297,0.328,0
7994262,0.9622,0.1898,0.1204,-0.154,-0.0379,-0.0734,0.1266,0
7994762,0.9623,0.189,0.1209,-0.1539,-0.1562,-0.2153,0.0867,0
7995262,0.9623,0.1896,0.1209,-0.153,-0.2514,-0.3287,0.1402,0
7995762,0.9622,0.1915,0.1203,-0.1515,-0.1213,-0.2627,0.1857,0
7996262,0.9621,0.1948,0.1196,-0.149,-0.1565,-0.2074,0.1132,0
7996762,0.9617,0.1989,0.1189,-0.1465,-0.1956,-0.3115,0.0974,0
7997262,0.9613,0.2036,0.1177,-0.1438,-0.1578,-0.0792,0.1011,0
7997762,0.9611,0.2074,0.1158,-0.1407,0.0383,-0.0411,0.0386,0
7998262,0.9611,0.2109,0.1144,-0.1369,-0.1692,-0.256,0.0918,0
7998762,0.9609,0.2146,0.1125,-0.134,-0.0167,-0.0715,0.0965,0
7999262,0.9607,0.218,0.1112,-0.1311,-0.2292,-0.1459,0.2058,0
7999762,0.9605,0.2209,0.1095,-0.129,-0.1064,-0.2235,0.0931,0
8000262,0.9601,0.2238,0.1085,-0.1281,-0.0242,-0.0871,0.1615,0
8000762,0.96,0.225,0.1075,-0.1276,0.0088,0.0229,0.0448,0
8001262,0.9601,0.2245,0.107,-0.1279,-0.0103,-0.0944,-0.03,0
8001762,0.9601,0.2236,0.1072,-0.1291,-0.1059,-0.1687,0.1126,0
8002262,0.9601,0.2221,0.1077,-0.1315,-0.1032,-0.1225,0.047,0
8002762,0.969,0.2069,0.1318,-0.0302,-0.0029,-0.0378,0.1501,0
8003262,0.9693,0.2045,0.1328,-0.0326,-0.0356,-0.1164,0.0556,0
8003762,0.9694,0.2022,0.1348,-0.0345,-0.0693,-0.0544,0.1032,0
8004262,0.9696,0.1998,0.1369,-0.0361,-0.0601,-0.0412,0.0434,0
8004762,0.9696,0.1977,0.1392,-0.0376,0.0496,0.0235,0.0209,0
8005262,0.9698,0.1942,0.1421,-0.0395,-0.0961,-0.26,0.1672,0
8005762,0.9701,0.1907,0.1445,-0.0415,-0.0172,-0.0612,0.1058,0
8006262,0.9705,0.1863,0.147,-0.043,-0.0631,-0.2777,0.1577,0
8006762,0.9705,0.1837,0.1495,-0.0458,-0.0692,-0.0967,0.2383,0
8007262,0.9707,0.1809,0.1509,-0.047,-0.1526,-0.2594,0.1025,0
8007762,0.9708,0.1796,0.1514,-0.0479,-0.0478,-0.1417,0.1397,0
8008262,0.971,0.1792,0.1513,-0.0475,-0.0458,-0.2587,0.1989,0
8008762,0.9709,0.1798,0.151,-0.0465,-0.1149,-0.3402,0.2037,0
8009262,0.9707,0.182,0.1502,-0.0452,-0.0631,-0.2499,0.2061,0
8009763,0.9704,0.185,0.1489,-0.0434,-0.1103,-0.0924,0.1144,0
8010263,0.9701,0.1887,0.1469,-0.0418,-0.0461,-0.002,0.133,0
8010763,0.9699,0.1921,0.1449,-0.0382,-0.1346,-0.1129,0.0951,0
8011263,0.9697,0.1954,0.142,-0.0352,-0.0703,-0.1767,0.0679,0
8011763,0.9695,0.1992,0.1389,-0.032,0.0529,-0.0144,0.0762,0
8012263,0.9693,0.2027,0.1364,-0.028,-0.0328,-0.1682,0.1343,0
8012763,0.9689,0.2061,0.1347,-0.025,-0.0854,-0.1658,0.0467,0
8013263,0.9685,0.2093,0.1333,-0.0226,-0.0002,-0.1197,0.0768,0
8013763,0.9681,0.2113,0.1326,-0.0208,0.002,-0.1334,0.0257,0
8014263,0.968,0.2123,0.1326,-0.02,0.0045,0.0155,0.1023,0
8014763,0.968,0.2116,0.1332,-0.02,-0.0465,-0.1893,0.0019,0
8015263,0.9681,0.2103,0.1344,-0.0214,-0.0919,-0.1211,0.1172,0
8015763,0.9684,0.2081,0.1351,-0.024,0.0405,0.0715,0.1208,0
8016263,0.9689,0.2049,0.1363,-0.0265,-0.0798,-0.1814,0.132,0
8016763,0.9694,0.2011,0.1378,-0.0299,0.0774,0.005,0.0277,0
8017263,0.9697,0.1968,0.1404,-0.0338,-0.1418,-0.3112,0.0994,0
8017763,0.9701,0.1927,0.1422,-0.0388,-0.0004,-0.064,0.0936,0
8018263,0.9705,0.1888,0.1438,-0.0429,-0.0463,-0.0307,0.1811,0
8018763,0.9709,0.1846,0.1455,-0.0451,-0.0003,-0.0577,0.0679,0
8019263,0.9712,0.1803,0.1479,-0.048,-0.0134,-0.0118,0.1609,0
8019763,0.9715,0.1765,0.1503,-0.0503,-0.132,-0.2477,0.0982,0
8020263,0.9715,0.174,0.1524,-0.0526,-0.0302,-0.1431,0.2339,0
8020763,0.9717,0.1719,0.153,-0.054,-0.1595,-0.2541,0.1278,0
8021263,0.9717,0.1713,0.1528,-0.0557,0.1188,0.0861,0.1369,0
8021763,0.9718,0.1707,0.1526,-0.0558,-0.0126,-0.1155,0.1816,0
8022263,0.9718,0.1712,0.1522,-0.0553,-0.0718,-0.2571,0.1894,0
8022763,0.9717,0.1731,0.1514,-0.0544,-0.123,-0.1733,0.227,0
8023263,0.9715,0.1758,0.1498,-0.0531,-0.0153,-0.0921,0.0373,0
8023763,0.9712,0.1795,0.1483,-0.0509,-0.0207,-0.2015,0.084,0
8024263,0.9708,0.1836,0.1465,-0.0481,-0.0429,-0.2675,0.0087,0
8024763,0.9704,0.1877,0.1447,-0.0457,-0.0869,-0.0968,0.0785,0
8025263,0.9701,0.1917,0.1427,-0.0424,-0.1036,0.0868,0.0973,0
8025763,0.9699,0.1953,0.1401,-0.04,-0.0665,-0.0185,0.0208,0
8026263,0.9695,0.1986,0.1382,-0.0385,0.0319,0.0042,0.1652,0
8026763,0.9693,0.2008,0.1371,-0.0366,0.0814,-0.0306,0.0848,0
8027263,0.969,0.2026,0.1368,-0.0361,-0.0124,-0.0552,0.0953,0
8027763,0.9687,0.2038,0.1369,-0.0354,-0.0332,-0.0644,0.0572,0
8028263,0.9685,0.2044,0.1374,-0.0354,-0.0318,-0.0885,0.0112,0
8028763,0.9684,0.2045,0.1384,-0.0361,-0.0708,-0.1168,0.111,0
8029263,0.9683,0.2039,0.139,-0.0382,0.0505,0.1504,0.1484,0
